#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,53568.0
14000000000,168144.0
15000000000,209064.0
16000000000,247752.0
17000000000,307272.0
18000000000,360096.0
19000000000,411432.0
20000000000,76632.0
21000000000,27528.0
22000000000,31248.0
23000000000,32736.0
24000000000,19344.0
25000000000,26784.0
26000000000,25296.0
27000000000,31248.0
28000000000,32736.0
29000000000,21576.0
30000000000,19344.0
31000000000,28272.0
32000000000,18600.0
33000000000,29016.0
34000000000,38688.0
35000000000,20832.0
36000000000,23064.0
37000000000,14136.0
38000000000,32736.0
39000000000,744.0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
