#Time, Throughput
0,0
1000000000,0
2000000000,0
3000000000,0
4000000000,0
5000000000,0
6000000000,0
7000000000,0
8000000000,0
9000000000,0
10000000000,0
11000000000,0
12000000000,0
13000000000,43896.0
14000000000,164424.0
15000000000,209808.0
16000000000,264864.0
17000000000,313224.0
18000000000,349680.0
19000000000,416640.0
20000000000,465744.0
21000000000,508152.0
22000000000,477648.0
23000000000,468720.0
24000000000,467976.0
25000000000,477648.0
26000000000,465744.0
27000000000,467976.0
28000000000,470208.0
29000000000,467976.0
30000000000,465744.0
31000000000,459048.0
32000000000,406968.0
33000000000,360096.0
34000000000,321408.0
35000000000,247752.0
36000000000,220224.0
37000000000,162192.0
38000000000,58032.0
39000000000,3720.0
40000000000,0
41000000000,0
42000000000,0
43000000000,0
44000000000,0
45000000000,0
46000000000,0
47000000000,0
48000000000,0
49000000000,0
